,aqi,city,code,indicator,level,time
238,68,清远市,441800,细颗粒物(PM2.5),良,2018-06-15 22:00:00
239,44,东莞市,441900,,优,2018-06-15 22:00:00
240,47,中山市,442000,,优,2018-06-15 22:00:00
241,42,潮州市,445100,,优,2018-06-15 22:00:00
242,38,揭阳市,445200,,优,2018-06-15 22:00:00
243,46,云浮市,445300,,优,2018-06-15 22:00:00
244,73,南宁市,450100,细颗粒物(PM2.5),良,2018-06-15 22:00:00
245,50,柳州市,450200,,优,2018-06-15 22:00:00
246,70,桂林市,450300,颗粒物(PM10),良,2018-06-15 22:00:00
247,53,梧州市,450400,颗粒物(PM10),良,2018-06-15 22:00:00
248,52,北海市,450500,颗粒物(PM10),良,2018-06-15 22:00:00
249,49,防城港市,450600,,优,2018-06-15 22:00:00
250,59,钦州市,450700,"颗粒物(PM10),细颗粒物(PM2.5)",良,2018-06-15 22:00:00
251,47,贵港市,450800,,优,2018-06-15 22:00:00
252,38,玉林市,450900,,优,2018-06-15 22:00:00
